               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.016903,           0.0097378,                   0,             0.96384,             0.99574,             0.97604,             0.85493,           0.0057934,           0.0058324,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.015972,           0.0094829,                   0,             0.96627,             0.99769,             0.97631,             0.86262,           0.0052625,           0.0056834,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01498,           0.0095286,                   0,             0.96646,             0.99672,             0.97498,             0.86217,           0.0054787,           0.0057836,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.015784,           0.0094324,                   0,             0.96554,             0.99769,             0.97564,             0.86763,           0.0051367,            0.005466,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.014477,           0.0092666,                   0,             0.96862,              0.9965,               0.976,             0.87015,           0.0051972,            0.005711,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014738,           0.0091518,                   0,             0.96963,             0.99723,             0.97791,             0.86977,           0.0051907,           0.0056401,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.014662,           0.0092878,                   0,             0.96747,             0.99815,             0.97754,             0.87087,           0.0050294,           0.0055796,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.014593,           0.0093198,                   0,             0.96866,             0.99677,             0.97603,             0.87355,           0.0048872,           0.0054306,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.014144,           0.0090868,                   0,             0.96992,             0.99662,             0.97754,             0.87592,           0.0048938,           0.0055041,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013737,            0.008895,                   0,             0.96948,             0.99641,             0.97721,             0.88045,           0.0048885,           0.0052907,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014165,           0.0091051,                   0,             0.96995,             0.99736,              0.9784,             0.88024,           0.0047814,           0.0052189,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.013409,           0.0088353,                   0,             0.96951,             0.99719,             0.97919,             0.88472,           0.0046768,           0.0051247,                   0,            0.000496,            0.000496,            0.000496
